Avg_TCP_transmition,Avg_RTT,Avg_TP,MSISDN/Number
1706846972.4292276,1102.0,361719.0,14
1688933151.3334072,46570.969046182894,793383.0,136
1683259544.0570471,30750.19994208654,199828.0,76
1669059764.099296,2989.656348727632,422745.0,21
1651707521.8479404,9903.656348727633,1891396.0,114
1638794469.2450774,20951.828174363814,3605037.0,138
1637318601.319369,5528.0,29578.0,4
1598836147.821511,14573.346810556599,1203621.0,98
1592325233.549648,9536.0,175298.0,20
1576565492.9788756,2956.8281743638163,187806.0,30
1573593480.7743134,29007.312697455265,192945.0,91
1536183315.7059915,31808.48452309145,2095685.0,132
1510599217.5550008,10242.828174363816,1643885.0,99
1504612188.05179,11905.828174363816,1354596.0,113
1487044705.046485,13084.422615457243,1683971.0,94
1443985407.198236,8377.752369463173,707896.0,75
1391522028.7486444,5812.656348727633,1292474.0,78
1355210661.658794,7885.0,3219150.0,105
1350520709.0993438,5482.1408718190805,1121798.0,90
1265640435.2559958,26273.312697455265,378047.0,75
1222079414.3506997,939.0,48423.0,4
1209846421.7214546,23372.828174363814,1028605.0,94
1209557394.9309654,46181.312697455265,1120395.0,114
1153202759.747884,9983.656348727633,1731762.0,91
1138145153.57006,30417.484523091447,219193.0,87
1100646401.6750174,25243.828174363814,743832.0,78
1096495425.8795793,390.0,25729.0,6
1044388770.418309,10421.0,532957.0,65
1042405746.5802659,7370.656348727633,1203788.0,81
1000442254.8999913,9802.0,976268.0,52
995247505.9313217,8454.856290814172,422158.0,48
923574345.1936913,17627.484523091447,127180.0,53
916393554.8792231,5722.735312912506,816199.0,46
900271409.2827815,2340.8281743638163,691174.0,44
888317057.418309,27276.93809236579,1170291.0,75
883453183.4024419,6588.656348727633,1119442.0,46
815274552.2876824,7751.828174363816,1257840.0,44
814985771.2978884,18442.14087181908,358818.0,56
811774203.8271246,8392.828174363816,393496.0,43
781957309.8637599,3522.8281743638163,1027769.0,53
777981343.2299227,7374.484523091449,966167.0,50
767542879.4186653,4072.656348727632,404802.0,26
759887881.0155109,21922.312697455265,222746.0,48
738705892.4397897,899.8281743638161,23.0,3
731421723.8373305,2324.4845230914484,718608.0,40
724744101.3341198,24221.312697455265,1102628.0,81
702322770.7637036,10063.828174363816,446344.0,58
693872340.4175488,27143.828174363814,632760.0,74
687608469.7539016,3089.8281743638163,781244.0,38
675467899.7482404,11992.828174363816,914325.0,59
661210794.7380344,5007.0,804080.0,39
660158205.3873348,24035.828174363814,127673.0,36
657124961.853554,4487.484523091448,351967.0,36
646332442.8690172,3474.8281743638163,139708.0,18
644237228.3190129,2343.0,713554.0,41
637431645.0471976,8015.0,108588.0,11
625913687.2461461,7122.312697455264,42973.0,28
625623821.1827251,11127.828174363816,334415.0,36
619903330.5492917,6730.0,541950.0,49
617081804.1408324,8651.0,410903.0,48
596130953.4186653,2955.0,29029.0,25
591949193.7904892,1428.0,21582.0,5
574847575.554953,9195.828174363816,1164919.0,50
567895604.2876824,13342.0,619905.0,47
554773113.1408324,2698.0,741507.0,38
507164776.4397897,3305.0,28024.0,6
506585968.1151633,1304.0,219839.0,28
497645265.2091545,12761.312697455265,207965.0,31
485056749.6176138,6428.0,761879.0,48
480566654.2091545,3929.0,190350.0,33
470125131.0887339,13611.828174363816,15715.0,36
464915700.88978535,2977.0,612889.0,33
464375694.848249,1532.0,12116.0,6
455934720.00530493,11621.0,794718.0,36
455284684.5285236,3869.656348727632,510797.0,44
453846018.0,35.0,966.0,1
443711187.7957942,1970.0,427873.0,31
439712028.44509465,4306.1408718190805,342880.0,31
438971032.26691425,16246.0,133396.0,34
424613865.5855232,5334.656348727633,802059.0,41
422365907.8271246,1696.0,526396.0,30
416101202.0,38.0,37603.0,1
415485669.6489442,11996.828174363816,438945.0,44
415428314.1619569,7590.0,225340.0,25
401461384.03663534,2798.0,387600.0,27
398586582.7485966,5777.0,11359.0,19
397435747.09929615,8140.828174363816,89094.0,24
388268123.44433445,10293.0,685073.0,36
385595616.50775546,3082.656348727632,532671.0,28
380515097.09929615,4930.828174363816,392025.0,25
379310535.79503393,5327.0,1270805.0,45
379205143.9475452,14348.0,408412.0,25
372602339.47642505,2165.938092365793,213441.0,20
364707556.31936914,754.0,39064.0,7
358112315.8006952,6815.828174363816,1229515.0,43
355740928.04153633,11243.0,408975.0,24
